User,Precision,Recall,F1-Score,Support
user01,0.98,0.98,0.98,172
user10,1,0.96,0.98,179
user11,0.98,0.98,0.98,198
user12,0.96,0.98,0.97,168
user13,0.94,0.96,0.95,174
user14,0.95,0.95,0.95,178
user15,0.88,0.9,0.89,48
user16,0.97,0.95,0.96,159
user17,0.98,0.94,0.96,178
user18,0.92,0.97,0.94,169
user19,0.96,0.94,0.95,174
user02,0.94,0.98,0.96,170
user20,0.97,0.58,0.72,50
user21,0.98,0.93,0.96,181
user22,0.99,0.96,0.98,172
user23,0.91,0.93,0.92,181
user24,0.95,0.97,0.96,167
user25,0.96,0.96,0.96,179
user26,0.95,0.93,0.94,134
user27,0.99,0.98,0.98,204
user28,0.94,0.96,0.95,156
user29,0.97,0.97,0.97,187
user03,0.97,0.94,0.95,176
user30,1,0.96,0.98,161
user31,0.97,0.93,0.95,193
user32,0.96,0.96,0.96,164
user33,0.95,0.97,0.96,173
user34,0.98,0.92,0.95,181
user35,0.96,0.97,0.96,156
user36,0.97,0.99,0.98,157
user37,0.99,0.97,0.98,172
user38,0.97,0.97,0.97,154
user39,0.82,0.93,0.87,160
user04,0.99,0.97,0.98,174
user40,0.98,0.99,0.99,179
user41,0.97,0.98,0.97,179
user42,0.94,0.93,0.93,167
user43,0.99,0.98,0.99,176
user44,0.93,0.96,0.95,176
user45,0.96,0.96,0.96,187
user46,0.97,0.94,0.96,160
user47,0.96,0.97,0.97,168
user48,0.99,0.95,0.97,149
user49,0.96,0.98,0.97,171
user05,0.96,0.94,0.95,179
user50,0.95,0.95,0.95,160
user51,0.97,0.98,0.97,176
user52,0.96,0.95,0.95,166
user06,0.97,0.98,0.98,186
user07,0.77,0.97,0.86,111
user08,0.95,0.97,0.96,157
user09,0.95,0.98,0.96,165
